3160 step,  mlm : 0.00, nsp : 0.16 nsp_acc : 0.9375
3180 step,  mlm : 0.00, nsp : 0.27 nsp_acc : 0.9375
3200 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.9375
3220 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
3240 step,  mlm : 0.00, nsp : 0.27 nsp_acc : 0.90625
3260 step,  mlm : 0.00, nsp : 0.04 nsp_acc : 0.96875
3280 step,  mlm : 0.00, nsp : 0.35 nsp_acc : 0.90625
3300 step,  mlm : 0.00, nsp : 0.05 nsp_acc : 1.0
3320 step,  mlm : 0.00, nsp : 0.26 nsp_acc : 0.9375
3340 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
3360 step,  mlm : 0.00, nsp : 0.16 nsp_acc : 0.9375
3380 step,  mlm : 0.00, nsp : 0.06 nsp_acc : 0.96875
3400 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
3420 step,  mlm : 0.00, nsp : 0.09 nsp_acc : 0.96875
3440 step,  mlm : 0.00, nsp : 0.09 nsp_acc : 0.96875
3460 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.9375
3480 step,  mlm : 0.00, nsp : 0.23 nsp_acc : 0.875
3500 step,  mlm : 0.00, nsp : 0.09 nsp_acc : 0.9375
3520 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
3540 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.96875
